variable,sector,outcome,selected,lasso_coef,enet_coef
4g_area_coverage,Financial Services,growth_emp,0,0.0,0.0
net_additions,Financial Services,growth_emp,1,0.019286594227232223,0.015532731066432662
related_variety,Financial Services,growth_emp,0,-0.0,-0.0
level_3+_qualifications,Financial Services,growth_bus,0,0.0,0.0
gcse_by_age_19,Financial Services,growth_bus,0,0.0,0.0
apprenticeship_starts,Financial Services,growth_bus,0,0.0,0.0
apprenticeship_achievements,Financial Services,growth_bus,0,0.0,0.0
fe_and_skills_participation,Financial Services,growth_bus,0,-0.0,-0.0
new_enterprises,Financial Services,growth_bus,0,0.0,0.0
deaths_of_enterprises,Financial Services,growth_bus,0,0.0,0.0
active_enterprises,Financial Services,growth_bus,0,0.0,0.0
high_growth_enterprises,Financial Services,growth_bus,0,0.0,0.0
broadband_availability,Financial Services,growth_bus,0,-0.0,-0.0
4g_area_coverage,Financial Services,growth_bus,0,0.0,0.0
net_additions,Financial Services,growth_bus,1,0.028006548256436024,0.023506900263717132
related_variety,Financial Services,growth_bus,1,-0.011079193104222297,-0.009665988163460433
level_3+_qualifications,Financial Services,cagr_bus,0,0.0,0.0
gcse_by_age_19,Financial Services,cagr_bus,0,0.0,0.0
apprenticeship_starts,Financial Services,cagr_bus,0,0.0,0.0
apprenticeship_achievements,Financial Services,cagr_bus,0,0.0,0.0
fe_and_skills_participation,Financial Services,cagr_bus,0,-0.0,-0.0
new_enterprises,Financial Services,cagr_bus,0,-0.0,-0.0
deaths_of_enterprises,Financial Services,cagr_bus,0,-0.0,-0.0
active_enterprises,Financial Services,cagr_bus,0,0.0,0.0
high_growth_enterprises,Financial Services,cagr_bus,0,0.0,0.0
broadband_availability,Financial Services,cagr_bus,0,-0.0,-0.0
4g_area_coverage,Financial Services,cagr_bus,0,0.0,0.0
net_additions,Financial Services,cagr_bus,1,0.003594454601161938,0.0034671150128292322
related_variety,Financial Services,cagr_bus,0,-0.0,-0.0
level_3+_qualifications,Financial Services,cagr_emp,0,0.0,0.0
gcse_by_age_19,Financial Services,cagr_emp,0,0.0,0.0
apprenticeship_starts,Financial Services,cagr_emp,0,0.0,0.0
apprenticeship_achievements,Financial Services,cagr_emp,0,0.0,0.0
fe_and_skills_participation,Financial Services,cagr_emp,0,0.0,0.0
new_enterprises,Financial Services,cagr_emp,0,0.0,0.0
deaths_of_enterprises,Financial Services,cagr_emp,0,0.0,0.0
active_enterprises,Financial Services,cagr_emp,0,0.0,0.0
high_growth_enterprises,Financial Services,cagr_emp,0,0.0,0.0
broadband_availability,Financial Services,cagr_emp,0,0.0,0.0
4g_area_coverage,Financial Services,cagr_emp,0,0.0,0.0
net_additions,Financial Services,cagr_emp,0,0.0,0.0
related_variety,Financial Services,cagr_emp,0,0.0,0.0
level_3+_qualifications,Life Sciences,lq_emp,0,0.0,0.0024667450874520935
gcse_by_age_19,Life Sciences,lq_emp,1,0.11763639333920414,0.12291591665049183
apprenticeship_starts,Life Sciences,lq_emp,0,0.0,0.0
apprenticeship_achievements,Life Sciences,lq_emp,1,0.05174068502823412,0.05456481617302766
fe_and_skills_participation,Life Sciences,lq_emp,1,-0.22587782619223704,-0.21226136697511133
new_enterprises,Life Sciences,lq_emp,1,-0.08761343522919472,-0.11716858150588298
deaths_of_enterprises,Life Sciences,lq_emp,1,-0.2120114105644373,-0.1275256171561271
active_enterprises,Life Sciences,lq_emp,0,-0.0,-0.07556651445610883
high_growth_enterprises,Life Sciences,lq_emp,1,0.022517446861337522,0.06699075367413151
broadband_availability,Life Sciences,lq_emp,1,0.20686285622578715,0.18952991724758605
4g_area_coverage,Life Sciences,lq_emp,1,-0.15260159375727064,-0.14521901046345384
net_additions,Life Sciences,lq_emp,1,0.01854041687821105,0.02961424577185461
related_variety,Life Sciences,lq_emp,1,0.28450347842072393,0.25957329304924526
level_3+_qualifications,Life Sciences,lq_bus,1,0.17455883348922951,0.17806528582149891
gcse_by_age_19,Life Sciences,lq_bus,1,-0.0519647467623949,-0.06416655341303387
apprenticeship_starts,Life Sciences,lq_bus,0,-0.0,-0.020155415182717542
apprenticeship_achievements,Life Sciences,lq_bus,0,0.0,0.01587163746907351
fe_and_skills_participation,Life Sciences,lq_bus,1,-0.11000074231137315,-0.11382199332187153
new_enterprises,Life Sciences,lq_bus,0,-0.0,-0.07046603664080586
deaths_of_enterprises,Life Sciences,lq_bus,1,-0.18031373648632934,-0.11528996354065087
active_enterprises,Life Sciences,lq_bus,1,-0.0850884366820026,-0.09635127728504544
high_growth_enterprises,Life Sciences,lq_bus,1,0.10066529004034018,0.1277978460748382
broadband_availability,Life Sciences,lq_bus,1,0.1404595977223797,0.1442971036043914
4g_area_coverage,Life Sciences,lq_bus,0,0.0,0.0
net_additions,Life Sciences,lq_bus,1,0.05414434278289756,0.06056147080584391
related_variety,Life Sciences,lq_bus,1,0.37127514507538406,0.34932952447980414
level_3+_qualifications,Life Sciences,growth_emp,0,0.0,0.03993309521124114
gcse_by_age_19,Life Sciences,growth_emp,0,0.0,0.07141180754026559
apprenticeship_starts,Life Sciences,growth_emp,0,0.0,-0.0
apprenticeship_achievements,Life Sciences,growth_emp,0,0.0,-0.02586468998040665
fe_and_skills_participation,Life Sciences,growth_emp,0,0.0,-0.2525827160303898
new_enterprises,Life Sciences,growth_emp,0,0.0,-0.021461094400775402
deaths_of_enterprises,Life Sciences,growth_emp,0,0.0,-0.038105124392712346
active_enterprises,Life Sciences,growth_emp,0,0.0,-0.02943142137532911
high_growth_enterprises,Life Sciences,growth_emp,0,0.0,0.0
broadband_availability,Life Sciences,growth_emp,0,0.0,0.22737228359506673
4g_area_coverage,Life Sciences,growth_emp,0,0.0,0.0
net_additions,Life Sciences,growth_emp,0,0.0,-0.18077097142348744
related_variety,Life Sciences,growth_emp,0,0.0,0.0
level_3+_qualifications,Life Sciences,growth_bus,1,0.15475119555679254,0.15614303674266858
gcse_by_age_19,Life Sciences,growth_bus,1,-0.043541977882294164,-0.05501923932781525
apprenticeship_starts,Life Sciences,growth_bus,0,-0.0,0.0
apprenticeship_achievements,Life Sciences,growth_bus,1,-0.006006132840172715,-0.01775388952591117
fe_and_skills_participation,Life Sciences,growth_bus,1,-0.009981364755292736,-0.02920758438630445
