sector,dep_var,model_type,feature,importance
Advanced Manufacturing,cagr_bus_binary,classification,active_enterprises,0.020693495611560163
Advanced Manufacturing,cagr_bus_binary,classification,high_growth_enterprises,0.01847931820542953
Advanced Manufacturing,cagr_bus_binary,classification,broadband_availability,0.021378948706626225
Advanced Manufacturing,cagr_bus_binary,classification,4g_area_coverage,0.014683777772195927
Advanced Manufacturing,cagr_bus_binary,classification,gcse_by_age_19,0.03945075149161549
Advanced Manufacturing,cagr_bus_binary,classification,early_years_comms,0.02222024798848644
Advanced Manufacturing,cagr_bus_binary,classification,early_years_literacy,0.02365860598318478
Advanced Manufacturing,cagr_bus_binary,classification,early_years_maths,0.03605282417728393
Advanced Manufacturing,cagr_bus_binary,classification,apprenticeship_starts,0.015493817120044029
Advanced Manufacturing,cagr_bus_binary,classification,apprenticeship_achievements,0.02087633391417131
Advanced Manufacturing,cagr_bus_binary,classification,level_3+_qualifications,0.029399757241834825
Advanced Manufacturing,cagr_bus_binary,classification,fe_and_skills_participation,0.04476627478362345
Advanced Manufacturing,cagr_bus_binary,classification,smokers,0.031219017047755142
Advanced Manufacturing,cagr_bus_binary,classification,reception_obesity,0.04876378742314861
Advanced Manufacturing,cagr_bus_binary,classification,year_6_obesity,0.06765673995134094
Advanced Manufacturing,cagr_bus_binary,classification,adult_obesity,0.026372386208593404
Advanced Manufacturing,cagr_bus_binary,classification,cancer_diagnosis,0.04569586749658876
Advanced Manufacturing,cagr_bus_binary,classification,under_75_mortality_rate,0.046259313656333706
Advanced Manufacturing,cagr_bus_binary,classification,life_satisfaction,0.03385088046989297
Advanced Manufacturing,cagr_bus_binary,classification,worthwhile,0.036164918802948004
Advanced Manufacturing,cagr_bus_binary,classification,happiness,0.07194692023311783
Advanced Manufacturing,cagr_bus_binary,classification,anxiety,0.032363598385263787
Advanced Manufacturing,cagr_bus_binary,classification,net_additions,0.019711443048250513
Advanced Manufacturing,cagr_bus_binary,classification,related_variety,0.09649757684581468
Advanced Manufacturing,cagr_bus_binary,classification,size_large_share,0.001625418744087287
Advanced Manufacturing,cagr_bus_binary,classification,size_micro_share,0.013314484036026628
Advanced Manufacturing,cagr_bus_binary,classification,public_transport_to_employer,0.014267995167848
Advanced Manufacturing,cagr_bus_binary,classification,drive_to_employer,0.034892189565498666
Advanced Manufacturing,cagr_bus_binary,classification,cycle_to_employer,0.033715743766924655
Creative Industries,lq_emp,regression,new_enterprises,0.000345003168906914
Creative Industries,lq_emp,regression,deaths_of_enterprises,0.0009872145894826304
Creative Industries,lq_emp,regression,active_enterprises,0.0017576314049984262
Creative Industries,lq_emp,regression,high_growth_enterprises,0.0050642315444278515
Creative Industries,lq_emp,regression,broadband_availability,0.002684726068524433
Creative Industries,lq_emp,regression,4g_area_coverage,0.0004423067753228439
Creative Industries,lq_emp,regression,gcse_by_age_19,0.01600890431456429
Creative Industries,lq_emp,regression,early_years_comms,0.0037896902728776867
Creative Industries,lq_emp,regression,early_years_literacy,0.0046103413268070706
Creative Industries,lq_emp,regression,early_years_maths,0.010074572973103284
Creative Industries,lq_emp,regression,apprenticeship_starts,0.10772478660009165
Creative Industries,lq_emp,regression,apprenticeship_achievements,0.05015624633355295
Creative Industries,lq_emp,regression,level_3+_qualifications,0.049091506867326516
Creative Industries,lq_emp,regression,fe_and_skills_participation,0.001558707428949236
Creative Industries,lq_emp,regression,smokers,0.001181684205073896
Creative Industries,lq_emp,regression,reception_obesity,0.006984450973074028
Creative Industries,lq_emp,regression,year_6_obesity,0.00495828606329944
Creative Industries,lq_emp,regression,adult_obesity,0.06629455263258086
Creative Industries,lq_emp,regression,cancer_diagnosis,0.004513046791108691
Creative Industries,lq_emp,regression,under_75_mortality_rate,0.0020229209907398696
Creative Industries,lq_emp,regression,life_satisfaction,4.082689993544603e-05
Creative Industries,lq_emp,regression,worthwhile,0.0014837150643506939
Creative Industries,lq_emp,regression,happiness,0.0006678827370534911
Creative Industries,lq_emp,regression,anxiety,0.002009872869849425
